Activity Name,Description,Image URL
Rollins College Francophone Club,"Club Francophone aims to explore the rich culture and history of French-speaking countries through discussions, art and literature, and engaging activities, and to encourage the study of French language and customs while promoting global citizenship.",https://se-images.campuslabs.com/clink/images/9448003a-6acb-4ac2-bd21-98d397ad34b49356f033-bac8-418a-a674-f6c29fbbff1d.png?preset=small-sq
Rollins College Surf Club,A club organized to bring together a group of people that share an interest in and have a passion for Surfing.,https://se-images.campuslabs.com/clink/images/62db7ccd-104e-486b-8a96-f6b6c5d1f0b2e95e3bfc-e670-4424-b8f3-5237c832da48.jpg?preset=small-sq
Rollins College TV,RCTV is a student-run video production club that creates a wide variety of content.,https://se-images.campuslabs.com/clink/images/6ef0dbcd-df52-4511-a3ad-7d0dd47b792e3c6a3cf6-f634-4e23-864a-51ca1d3e3fa7.png?preset=small-sq
Rollins Commuter Club,Home to the Rollins College commuter student community!,https://se-images.campuslabs.com/clink/images/35033a5d-95a4-4ddf-ba24-94fa583149d23e85fc33-0ad7-4174-944b-328bba57f9e4.png?preset=small-sq
Rollins Crochet Club,"The Crochet Club is a club to enhance your creativity! Start new projects, meet new friends, and learn a new hobby! No experience necessary.",https://se-images.campuslabs.com/clink/images/32ed90b7-2abf-4b61-9d76-3d392e6769c1a78bbcbe-9065-4a4f-bda5-c768726ff187.jpg?preset=small-sq
Rollins Cross Country Club,"A group of people who love to run together. Sometimes we are working towards races, other times just working to better ourselves.",https://se-images.campuslabs.com/clink/images/6ead2aa3-e2af-43a0-89bb-128da549fcc7183df655-978c-4a62-9716-fd13d3a1f610.jpg?preset=small-sq
Rollins Dance Association,"We are a society of dancers that is committed to the enhancement of our technical ability, showmanship, and cohesiveness as a group through the study and performance of several different styles of dance.",https://se-images.campuslabs.com/clink/images/bddc6b6f-6276-4dea-8c65-536fbe26841f2b0612fe-57c0-455a-b0c9-e841164ff825.png?preset=small-sq
Rollins Dining Services,"Dining Services manages the yummiest side of the Rollins experience. We're foodies at heart and we enjoy providing an ever-widening array of dining options to our students, faculty, and staff. Questions or suggestions? Reach out-we love hearing from you!",https://se-images.campuslabs.com/clink/images/bfaef4bd-4af3-4e89-b19e-c4d76fe25428e543d755-33d9-45b5-a81a-ff3792d161e3.jpg?preset=small-sq
Rollins Diplomats and Ambassadors,Provide prospective students with a memorable experience that conveys accurate information and a student’s perspective of the Rollins Experience.,https://se-images.campuslabs.com/clink/images/51b33041-4f58-4103-bf26-815f1c5db250b4be8823-babd-45f9-87b4-7f97a0a0eddd.jpg?preset=small-sq
Rollins Equestrian Team,Rollins Equestrian is a recreational sports team for full-time students at Rollins College! Members take weekly lessons and compete as a team regularly at Hunt Seat shows against other Zone 5 Region 5 schools.,https://se-images.campuslabs.com/clink/images/01cf0384-68a7-40a2-ad46-c8ee72dcc2a84f0a0e5c-7772-4f83-bc99-861e1352f00c.jpg?preset=small-sq
Rollins Fashion Society,"Welcome to Rollins Fashion Society, where style meets diversity, and creativity knows no bounds! 🌟Whether you're a trendsetter, a designer, or someone who loves to express themselves through clothing, the Rollins Fashion Society is the place for you.",https://se-images.campuslabs.com/clink/images/e8f75e9d-e3c4-4478-81ed-0f5f1f7e700b3ef926da-610a-47c7-9570-dc827ef093fd.png?preset=small-sq
Rollins Film Club,A place in which all film lovers can unite and share their love for film.,https://se-images.campuslabs.com/clink/images/7da2bfb3-ceab-4eac-9d24-7ab85c12134c00494ace-d2a1-46b4-8857-0dad9cddebfc.png?preset=small-sq
Rollins Gateway,Chart Your Course with Rollins Gateway!,https://se-images.campuslabs.com/clink/images/9116a214-5cb9-41f3-8e0a-d91efef5ce2ba2a57932-8dd7-4231-b0da-26f4e367f107.png?preset=small-sq
Rollins Hillel,"Rollins Hillel is the home of Jewish student life at Rollins College. We are a diverse community that promotes understanding of Jewish life and culture through social events, religious observances, and guest speakers.",https://se-images.campuslabs.com/clink/images/88b8b9aa-2cd7-476e-9ec9-a49d9e3213f40bec1b70-6927-4352-a1a9-813399255942.png?preset=small-sq
Rollins Improv Players,"RIP, or Rollins Improv Players, is our campus' theatrical improv troupe. RIP performs a variety of shows, both long and short form, that can be enjoyed by audiences at a variety of times throughout the semester.",https://se-images.campuslabs.com/clink/images/7fd7fc08-0085-477e-a122-d44c77be2c043d3818ff-5619-489f-a5ca-4946445e2eac.jpg?preset=small-sq
Rollins Intramural Volleyball,Rollins Intramural Volleyball is organized to bring people together through the fun game of indoor and outdoor volleyball. All levels are welcome!,https://se-images.campuslabs.com/clink/images/4848a260-5fc2-4503-af1a-c3047951d540a26b6250-2170-426f-a4db-b50d72664904.png?preset=small-sq
Rollins Moving Services,Rollins Moving Services provides simple moving and storage solutions to Rollins College students.,https://se-images.campuslabs.com/clink/images/bd06e6f7-66ed-49c1-9dfa-9395cb08c2bcdbe99a48-cd96-427a-bba9-c6ef9d006e03.png?preset=small-sq
Rollins Museum of Art Student Council,Members will work closely with RMA's staff to increase student involvement and advise the staff and Board of Visitors on future strategy. Open to all disciplines with the goal of growing participation with the RMA and Alfond collections.,https://se-images.campuslabs.com/clink/images/9cfc9cf4-eea0-4d40-b874-05f329e82dbf4a2394a1-f152-4856-a685-c4a395b6bdfb.png?preset=small-sq
Rollins Official Climbing Club,The Rollins Official Climbing Club exists to do two things. Climb rocks (indoor and outdoor) and have fun. Our mission is to provide a platform for students to embrace the world of rock climbing which promotes both physical and mental health.,https://se-images.campuslabs.com/clink/images/a44c66c6-f3cf-49f3-bb02-41ebcb1745fd68ef5caa-4ad7-4c4a-b9ab-add19088c50a.png?preset=small-sq
Rollins Paranormal Investigation Society,We delve into the local history and supernatural occurrences around Rollins. We would also like to investigate other places in Florida to immerse ourselves in the rich culture found in the state.,https://se-images.campuslabs.com/clink/images/f8532b3c-b249-4d6b-b567-ab9b6efa57cd67503f09-df68-488c-822e-de0704ea6103.jpg?preset=small-sq
Rollins Photography Club,The Rollins Photography club is a student organization that promotes photography and modeling at Rollins College.,https://se-images.campuslabs.com/clink/images/1d7ffd71-5404-45c2-884f-b27fe6682826cb86af57-9f35-4ebb-a56e-7da9fa9018eb.jpeg?preset=small-sq
Rollins Pickleball Club,"Rollins Pickleball club is a collective gathering of pickleball playing students, new and old, to play at a social level on campus. All are welcome from beginner to advance players and we hope to inspire a club that promotes the love of the game.",https://se-images.campuslabs.com/clink/images/230822f2-2d61-4f20-8a3e-a4d372b4cad55809d319-b532-4f0d-b4a3-d38e5810961d.jpeg?preset=small-sq
Rollins Players,"Rollins Players is an organization that serves to support and run the Second Stage Productions at the Lyman Blackbox Theatre, as well as serving as a social organization. We look to include all members of the Rollins community regardless of major.",https://se-images.campuslabs.com/clink/images/76ad3b07-a6a7-45c3-b4be-395863d59d7d931d8e0f-5015-446b-8a74-6fb203492251.jpeg?preset=small-sq
Rollins Pre Law Society,"The Rollins Pre-Law Society (RPLS) will aid in developing a network of pre-law students and provide a learning space to elevate LSAT scores, and assist with the law school application. Additionally, RPLS is looking for well rounded individuals to join.",https://se-images.campuslabs.com/clink/images/b8598d16-f1cc-492d-be53-741a11736d0786806734-ad15-40c0-bf3f-24c3aa6baee8.png?preset=small-sq
Rollins Pre-Dental Society,The Rollins Pre-Dental Society serves as a resource and a community for students interested in pursuing the field of dentistry. This society strives to help students with their journey towards a dental career and promotes fellowship between its members.,https://se-images.campuslabs.com/clink/images/3cb025fc-2090-471c-b4dc-3fd5c8e62b223f4ddeba-707e-435b-8907-30924ad4d270.png?preset=small-sq
Rollins Pre-Health American Medical Student Association,We are a student based organization where together we pass on knowledge and connections that are vital for those looking to enter a health profession in the future.,https://se-images.campuslabs.com/clink/images/e66a00dd-f800-4b8f-8839-8770dda96b35c9ee5ea8-58b7-4fde-9859-f0b5fcce122d.png?preset=small-sq
Rollins Pre-Physician Assistant Association,"Developing a network of Pre-PA students and provide information about PA applications, shadowing opportunities, virtual shadowing opportunities, GRE or PCAT preparation, PA specialties, CASPA, volunteer opportunities, and patient care experience.",https://se-images.campuslabs.com/clink/images/0f5a9ddf-7bae-48fd-bf30-91fbae4a4b9b194c0a3e-19a9-45b2-8a82-b8ba6ae6e730.png?preset=small-sq
Rollins Programming Council,An programming board that will provide great events for the Rollins community!,https://se-images.campuslabs.com/clink/images/10a889fb-f7da-4697-8610-433dac33230cd9b5b0e2-cadd-45cd-8f1a-6b33406df5fa.png?preset=small-sq
Rollins Scuba Club,Diverse organization passionate about advancing the sport of scuba diving.,https://se-images.campuslabs.com/clink/images/b8c5a1a8-f9c5-4f73-af40-f4e83878ef86de76b55c-05e2-4e05-b106-96d4b6e2ad62.png?preset=small-sq
Rollins SHRM Student Chapter,Increase knowledge and understanding of Human Resources.,https://se-images.campuslabs.com/clink/images/4717beab-3c9d-476b-bc58-1fbf32310f2dc86d1993-0c22-491c-b232-00ca586e8f34.png?preset=small-sq
Rollins Tap Club,"The purpose of this school organization is to promote, advance, and encourage tap dance at Rollins College.",https://se-images.campuslabs.com/clink/images/acaff8e0-9c80-4111-9b67-41575aa1a2f78b49fb61-cb53-4000-9033-a102e21ff5ef.jpg?preset=small-sq
Rollins Wellness Center,The Wellness Center strives to enhance the well-being of all students through both physical and mental healthcare.,https://se-images.campuslabs.com/clink/images/47eabac9-2eec-4dde-9752-372679e57aa661ab466c-ef99-456c-8dd9-4cca6b8998cf.jpg?preset=small-sq
Rollins Writers Guild,Do you like to write but need a little motivation and accountability to get started? Come write with us!,https://se-images.campuslabs.com/clink/images/e8bb02a8-42bb-47f2-aad9-0de55afc0a5356204b2e-a025-4fc8-95b7-97643523d695.jpg?preset=small-sq
Rotaract Club,"Rotaract is a club for adults ages 18-30 that meets twice a month to exchange ideas, plan activities and service projects, with professional development opportunities and an international network of young leaders.",https://se-images.campuslabs.com/clink/images/1439aa34-b9c6-49f4-9c97-4b47b4d7c12ff12677dd-7165-435e-8129-8cee61b00111.jpeg?preset=small-sq
Sigma Alpha Epsilon,"The mission of Sigma Alpha Epsilon is to promote the highest standards of friendship, scholarship and service for our members based upon the ideals set forth by our Founders and as specifically enunciated in “The True Gentleman.”",https://se-images.campuslabs.com/clink/images/99a1bc96-58b9-4e4b-8e07-e3cabe402c68fc6508b5-0efd-4e29-a1cd-0a3c0fefa3e7.jpeg?preset=small-sq
Sigma Gamma Rho,"Sigma Gamma Rho Sorority's aim is to enhance the quality of life within the community. Public service, leadership development and education of youth are the hallmarks of the organization's programs and activities.",https://se-images.campuslabs.com/clink/images/bfc6a0f8-f5ac-475a-89a9-17f3a7cf18c54ea836fb-71ed-4d11-b54f-b1df1dac726d.jpeg?preset=small-sq
Sirens Dance Team,"We are diverse group of dancers organized to promote school spirit, enthusiasm and attendance at athletic and spirit oriented functions.",https://se-images.campuslabs.com/clink/images/a5769430-1136-48a7-81d1-d937c477b4ad58ca6c16-52ca-438f-a9a0-8a7bc833afbb.JPG?preset=small-sq
Society of Physics Students,The Society of Physics Students (SPS) is a professional association explicitly designed for students.,https://se-images.campuslabs.com/clink/images/56cff29a-1500-4735-97fb-d5798fbcb902e9dacafc-e877-46ae-90bd-c688fa602a77.jpeg?preset=small-sq
Spectrum,"Spectrum is the LGBTQ+ allies organization for Rollins College. Spectrum is a safe haven for all LGBTQ+ students to socialize, get support, get educated and have fun!",https://se-images.campuslabs.com/clink/images/5f79d5f5-4e02-49ae-9665-d29970504f119ade965b-ac9f-4e4d-ac6c-646ea8749272.jpg?preset=small-sq
Student Achievement Awards,Annual Awards to Recognize Student Achievements,https://d2jyir0m79gs60.cloudfront.net/college/logos/Rollins_College.png
Student and Family Care,Student and Family Care helps develop resiliency and promote independence through student problem solving.,https://se-images.campuslabs.com/clink/images/8d3c6b89-cc4d-4677-8947-b75b3e31cf7e52292627-f365-4ad2-bab1-d658e6e5ff93.png?preset=small-sq
Student Center for Inclusion and Belonging,Student Center for Inclusion and Belonging,https://se-images.campuslabs.com/clink/images/8ec33c30-f6a6-4753-ab65-7b8e15dae305e62f26dd-6e2e-498a-a0ec-4233173ea330.png?preset=small-sq
Student Chapter of the National Association of Teachers of Singing,"A Student NATS (SNATS) Chapter is an organization of students that can meet, hold events and discussions, participate, practice, and learn more about voice teaching as a profession.",https://se-images.campuslabs.com/clink/images/d5f0147c-c418-45ff-b508-000055b9a7f77f262242-fc77-4150-af42-a75666e8129e.png?preset=small-sq
Student Government Association,"Student Government Association (SGA) is Rollins' student organized governance body. With representatives from each class year and major campus organizations, the SGA brings student voice to campus-wide committees and programs.",https://se-images.campuslabs.com/clink/images/c4953906-e4b9-4d59-8e44-6f49776d0a1e6a290f77-7f8b-443a-bedd-24a675ae253d.jpg?preset=small-sq
Student Investors Network,"Welcome to Student Investors Network, a dynamic community dedicated to fostering financial education, empowering smart investing, and building a wealth of knowledge.",https://se-images.campuslabs.com/clink/images/460a2fb8-6443-4101-9617-1f88b60da527dc75be5f-ca48-4e60-b71c-8318d810244b.PNG?preset=small-sq
Student Organization Leaders,Resources for Student Organization Leaders at Rollins College,https://se-images.campuslabs.com/clink/images/e5e52513-d169-4054-bbbe-33721ab5e9893f0d6251-6878-4739-892f-b3351bb783b1.png?preset=small-sq
Student Support Foundation,The Student Support Foundation is an organization that is open to students who are interested in learning about the skills of service and philanthropy by providing short-term assistance and long-term support to fellow students.,https://se-images.campuslabs.com/clink/images/c721f0cc-81c0-4385-a94f-b4cf27120d28a22511a7-0b89-47fa-bb51-d28f540d9441.png?preset=small-sq
Student-Athlete Advisory Committee,The Rollins College Student-Athlete Advisory Committee brings together representatives from each of the college’s sports teams to address student-athlete concerns and promote a stronger connection between Rollins athletics and the larger campus community,https://se-images.campuslabs.com/clink/images/d964248b-48fd-4cdb-b98d-c8a97786fc8c533a901d-ecc6-438e-86d3-5c92ec9c0b24.PNG?preset=small-sq
Students for Justice in Palestine,The mission of the SJP is to protect and advance the rights of the Palestinian people and educate the Rollins student-body about those rights.,https://se-images.campuslabs.com/clink/images/85a93f21-94c5-4f8a-8018-bb5ce862ae5f361fffac-bf0a-4583-b3f8-8a4fa52d4812.png?preset=small-sq
Tau Kappa Epsilon Fraternity,"Tau Kappa Epsilon's extremely strong brotherhood is built of a foundation of men, who are considered not for wealth, rank, or honor; but for personal worth and character. Brothers of Tau Kappa Epsilon utilize the fraternity's values to become successful.",https://se-images.campuslabs.com/clink/images/f06c2981-8b72-4d46-94cf-72452d71e7f5dbaaaf28-6720-4923-bb28-441ecbf2e2e0.png?preset=small-sq
Textiles Club,"For anyone who likes fashion, sewing, crochet, knitting, embroidery, or other textiles; this club is meant for people with similar interests to meet. No previous knowledge or skill is needed to join.",https://se-images.campuslabs.com/clink/images/c916a8cb-1ac3-45ab-b38c-bd5ca277989ff0534d17-f7bf-43ed-9b02-c7ea0a56cad4.png?preset=small-sq
The Dungeons & Dragons Guild,"The D&D Guild is an organization created to provide a safe space for people to find groups, cultivate their creative spark, form friendships, and play tabletop role-playing games.",https://se-images.campuslabs.com/clink/images/bdff1280-2a8e-4c60-a101-1bbe40cea9589d4a51e5-6ddd-4c05-82e0-c1f21386fa7b.jpg?preset=small-sq
The Independent,"The Independent is a magazine that provides a voice for journalists, artists, activists, and intellectuals at Rollins. We strive to publish articulate, audacious pieces that educate readers and motivate them to form their own independent world views.",https://se-images.campuslabs.com/clink/images/7e68de1a-2b1a-487c-9abc-b8655d28c664f7a012c8-08a3-42a0-bd47-48aa49a54084.jpg?preset=small-sq
The Sandspur,The Sandspur is the official newspaper of Rollins College. We provide news and coverage in regards to all campus events and happenings.,https://se-images.campuslabs.com/clink/images/29ea2d1b-29eb-4389-a7b4-5900c16c70a1b449eb33-984e-4f29-862a-92d8aaf59ac3.jpg?preset=small-sq
The Social Impact Hub,The Social Impact Hub is a co-curricular department on campus that focuses on approaching societal inequities and environmental challenges with innovation to develop creative and sustainable solutions.,https://se-images.campuslabs.com/clink/images/22038223-702b-4db7-b33e-814cc2c0d5c6181cb485-10c8-4591-b81c-92604f9de7a3.jpg?preset=small-sq
The Student Affiliates of the American Chemical Society,The Rollins Student Chapter of the American Chemical Society. Our purpose is provide students with scientific backgrounds a way of connecting with peers and professors as well as taking chemistry related field trips and bringing guest speakers on campus.,https://se-images.campuslabs.com/clink/images/48bb1c37-ec63-416e-a8d0-20836e37846a9b45fb8b-0664-41bb-a707-f7207a92e528.jpg?preset=small-sq
THRIVE Peer Educators,THRIVE is a team of student peer educators dedicated to promoting a culture of respect at Rollins. Our goal is to empower all Rollins students to advocate for healthy relationships and sexuality.,https://se-images.campuslabs.com/clink/images/21a8aa44-c688-4a3e-a19b-d87b95b68ee65d878b67-e488-4136-933b-411c0667f118.jpg?preset=small-sq
Tutoring and Writing Center,"The TWC in Olin Library is staffed by content tutors and writing consultants who are trained to provide responsive, individualized instruction on a wide range of academic subjects, projects, and assignments.",https://se-images.campuslabs.com/clink/images/b7a0d8bf-aee9-4703-8038-eba7d0a06c8244361343-0574-4f63-ace5-60db9c09d650.png?preset=small-sq
Ultimate Frisbee Club,Ultimate Frisbee Club is dedicated to teaching and involving the immediate and surrounding community of Rollins to learn and enjoy playing Frisbee. We will have friendly games on campus and refreshments.,https://se-images.campuslabs.com/clink/images/58823892-67cb-4618-9c9c-cb75fb35a14e7d2d97a0-e5f1-4190-9f85-7e9d30e86205.jpg?preset=small-sq
Voices,Mission Statement: To empower the campus community by educating members and providing safe opportunities and environments for the promotion of intersectional feminism and gender equality.,https://se-images.campuslabs.com/clink/images/cf7b5a1e-0fe1-4e08-a0e6-c0bfaf6e4993e4f9c283-ab3a-4af7-8c99-8e9333840aae.jpg?preset=small-sq
Wellness Ambassadors,"The Wellness Ambassadors are peer educators who educate and promote the importance of the Nine Dimensions of Wellness throughout campus to improve each student, staff, and faculty member’s quality of life.",https://se-images.campuslabs.com/clink/images/134e47b3-2e19-44e6-827a-98a8e34cdd30f9310d2a-2f2b-442c-b772-124dcc9092fb.png?preset=small-sq
When Cultures Collide,What happens when cultures collide? Learn how to be a citizen of the world.,https://se-images.campuslabs.com/clink/images/994a32f6-21f2-4d62-8cf7-cca5ad6b7a39f001075c-474f-4a25-bd20-063a72e23056.jpg?preset=small-sq
Winter Park Institute,Engaging Ideas with Students and Faculty Critiques & Advice Master Classes & Workshops,https://se-images.campuslabs.com/clink/images/de19b164-945b-4034-9828-4f5efce348b17c0a52f2-fe03-4c98-8767-a86b79a52940.jpg?preset=small-sq
Women Run the Code,An organization that aims to support and increase the number of women in computer science by equipping women with the necessary computing skills to pursue 21st-century opportunities.,https://se-images.campuslabs.com/clink/images/72c01cab-d143-48f2-9276-39dad0359d7dd9630263-cf1a-4940-bbcc-5d3efe475e01.png?preset=small-sq
X-Club Fraternity,"The X Club is Rollins’ oldest and most established fraternity. Founded in 1929, at Rollins College, the X Club is an organization that consistently promotes the values of Valor, Honor, and Leadership in all its endeavors.",https://se-images.campuslabs.com/clink/images/196f139c-b7b5-4017-a9af-deabe7aadda50cfcc79d-430e-4dee-bd52-51d702485ce1.jpg?preset=small-sq
Young Democratic Socialists of America,Rollins YDSA is a chapter of the National Democratic Socialists of America Organization.,https://se-images.campuslabs.com/clink/images/316f4c85-0a37-44e3-abe8-a2185bdc6fec6d602f82-7668-4b7c-8405-e488e25f76c8.png?preset=small-sq
¡Viva la Lengua! Spanish Club,"¡Hola y bienvenidos! We are ¡Viva la Lengua! Spanish Club. If you want to improve your Spanish language skills, practice outside the classroom, and engage with Spanish-speaking cultures, this is for you!",https://se-images.campuslabs.com/clink/images/9733e01e-ae2d-42b0-b8f7-8a903424e350bc94355f-0a07-4bdb-9fb0-a08d1d3316b5.png?preset=small-sq
